id,y_2011,y_2012,y_2013,y_2014,y_2015
37081010100,59,51,46,25,26
37081010200,191,173,148,154,219
37081010300,211,180,157,144,150
37081010401,168,178,165,164,129
37081010403,181,237,177,157,141
37081010404,339,341,349,303,231
37081010500,190,149,152,164,138
37081010601,133,112,87,130,95
37081010602,85,79,84,107,127
37081010701,60,58,46,42,48
37081010702,25,26,52,41,53
37081010800,140,119,79,49,45
37081010900,67,69,46,53,55
37081011000,9,14,22,49,39
37081011101,149,167,154,162,155
37081011102,225,238,250,244,221
37081011200,213,196,203,180,147
37081011300,275,278,175,212,138
37081011400,233,196,201,97,113
37081011500,173,155,201,184,225
37081011601,122,106,104,97,98
37081011602,178,165,197,195,114
37081011904,233,247,298,312,310
37081011905,369,380,411,322,293
37081012503,503,497,431,431,397
37081012504,92,87,92,61,51
37081012505,418,374,356,391,339
37081012508,282,339,328,282,294
37081012509,215,225,246,196,168
37081012510,214,256,249,226,168
37081012511,481,485,453,525,438
37081012601,167,107,151,82,83
37081012604,403,359,340,300,256
37081012607,189,241,255,190,210
37081012608,57,85,63,84,61
37081012609,380,293,312,298,345
37081012610,253,204,172,162,129
37081012611,281,220,209,201,200
37081012612,412,415,399,430,401
37081012617,102,142,125,167,169
37081012703,178,258,316,269,232
37081012704,186,222,242,212,218
37081012705,390,465,436,357,377
37081012706,139,161,153,184,162
37081012707,182,195,210,115,116
37081012803,633,704,621,583,535
37081012804,407,392,309,299,248
37081012805,398,378,412,329,271
37081013601,171,134,106,74,72
37081013602,208,203,223,199,205
37081013700,406,388,383,333,267
37081013800,235,293,264,261,287
37081013900,143,160,130,133,129
37081014000,211,128,192,185,168
37081014200,161,180,133,166,143
37081014300,100,110,89,79,117
37081014406,246,244,249,280,308
37081014407,331,430,508,418,423
37081014408,105,107,146,130,93
37081014409,221,303,259,263,212
37081014410,186,238,212,247,246
37081014411,300,329,292,287,253
37081014412,191,155,156,217,223
37081014501,51,35,28,22,10
37081014502,416,377,355,337,282
37081014503,201,214,256,201,205
37081015100,408,399,409,400,321
37081015200,535,623,665,743,717
37081015300,713,838,754,729,603
37081015401,529,422,386,505,524
37081015402,500,532,498,571,553
37081015500,505,617,518,526,446
37081015600,599,666,659,651,503
37081015703,419,450,550,540,436
37081015704,384,393,348,311,336
37081015705,129,141,135,116,76
37081015706,496,504,468,498,354
37081015707,441,354,329,374,505
37081015800,793,707,725,594,563
37081015901,443,329,227,187,226
37081015902,173,154,232,214,295
37081016003,211,216,206,206,201
37081016005,144,151,162,168,135
37081016006,111,112,142,194,195
37081016007,434,440,418,336,271
37081016008,459,472,428,417,464
37081016009,384,449,394,423,372
37081016010,140,117,107,95,68
37081016011,151,223,202,224,169
37081016101,267,221,185,193,182
37081016102,148,172,189,132,96
37081016103,160,167,190,178,319
37081016201,383,389,417,435,410
37081016203,306,274,317,286,239
37081016204,230,256,214,242,166
37081016205,354,362,231,233,201
37081016303,358,342,332,285,324
37081016304,231,219,244,298,297
37081016305,156,166,250,233,203
37081016306,523,524,454,378,474
37081016405,79,150,128,147,182
37081016406,169,146,125,141,173
37081016407,372,407,377,331,328
37081016408,162,161,156,104,84
37081016409,71,82,77,106,142
37081016410,351,455,426,415,381
37081016502,429,408,322,271,234
37081016503,100,120,105,111,124
37081016505,205,242,268,250,184
37081016506,572,497,520,522,441
37081016600,188,183,132,147,112
37081016701,610,522,484,454,490
37081016702,234,340,289,245,220
37081016800,379,439,443,440,447
37081016900,368,375,337,243,213
37081017000,386,321,268,336,326
37081017100,538,545,560,542,582
37081017200,513,551,533,566,545
37081980100,0,0,0,0,0
